To learn about increasing the verbosity of the NGen log files please see http://go.microsoft.com/fwlink/?linkid=210113
08/21/2019 18:24:11.078 [16068]: Failed to load dependency Microsoft.SqlTools.Telemetry.Interop of assembly SqlWorkbench.Interfaces, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.110 [16068]: Failed to load dependency Microsoft.SqlServer.Management.Sdk.Sfc of assembly Microsoft.SqlServer.Management.UserSettings, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.112 [16068]: Failed to load dependency Microsoft.SqlServer.Diagnostics.STrace of assembly Microsoft.SqlServer.Management.UserSettings, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.113 [16068]: Failed to load dependency Microsoft.SqlServer.Smo of assembly Microsoft.SqlServer.Management.UserSettings, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.113 [16068]: Failed to load dependency Microsoft.SqlServer.ConnectionInfo of assembly Microsoft.SqlServer.Management.UserSettings, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.115 [16068]: Failed to load dependency Microsoft.SqlServer.ConnectionInfo of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.120 [16068]: Failed to load dependency Microsoft.SqlServer.WizardFramework of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.121 [16068]: Failed to load dependency Microsoft.SqlServer.DlgGrid of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.124 [16068]: Failed to load dependency Microsoft.SqlServer.Smo of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.125 [16068]: Failed to load dependency Microsoft.SqlServer.SqlEnum of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
08/21/2019 18:24:11.130 [16068]: Failed to load dependency Microsoft.SqlServer.RegSvrEnum of assembly SqlMgmt, Version=15.0.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91 because of the following error : La definición del manifiesto del ensamblado no coincide con la referencia al ensamblado. (Excepción de HRESULT: 0x80131040)
